"S
No.",Polic e BS No.,Name of Distt.,Name of Police Station,"No of NH
road",name of the location place,Limits high accident prone Location,Unnamed: 7,Number of Accident,Unnamed: 9,Unnamed: 10,Unnamed: 11,Number of fatalities,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
232.0,191.0,KARAULI,MASALPU R,NH 11B,RATIYAPURA STAND TO GANESH HOTAL,101 KM,"101.5
KM",0.0,2.0,3.0,5,0.0,3.0,3.0,6,,
233.0,167.0,DHOLPUR,"dksrokyh
/kkSyiqj",NH 44,okVj cDl pkSjkgs ls tkfgn gksVy rd,24.5 KM,25 KM,1.0,2.0,6.0,9,0.0,2.0,2.0,4,,
234.0,168.0,DHOLPUR,"dksrokyh
/kkSyiqj",NH 44,lxj ikMk vkjVhvks pSd iksLV,23-5 KM,24 KM,4.0,1.0,7.0,12,,0.0,2.0,2,,
235.0,169.0,DHOLPUR,"dksrokyh
/kkSyiqj",NH 44,pEcy iqy o mlds vkl&ikl,22.1 KM,"22.6
KM",5.0,1.0,0.0,6,6.0,1.0,0.0,7,,
236.0,170.0,DHOLPUR,"fugkyxat
/kkSyiqj",NH 44,Ukjk;u <kok,52.2 KM,"52.7
KM",2.0,5.0,2.0,11,2.0,2.0,1.0,5,51.1536621,-0.1820629
237.0,171.0,DHOLPUR,lnj  /kkSyiqj,NH 44,Fkkus ds lkeus,51.5 KM,52 KM,4.0,3.0,4.0,11,6.0,2.0,2.0,10,,
238.0,172.0,DHOLPUR,lnj  /kkSyiqj,NH 44,egkjktiqjk pkSjkgk,49.9 KM,"50.2
KM",5.0,8.0,7.0,20,6.0,9.0,5.0,20,,
239.0,173.0,DHOLPUR,lnj  /kkSyiqj,NH 44,rksj frjkgk,48.7 KM,"49.2
KM",4.0,5.0,3.0,12,5.0,5.0,3.0,13,,
240.0,174.0,DHOLPUR,lnj  /kkSyiqj,NH 11 B,jeu <kokfuHkh dk rky,169.2 KM,"169.7
KM",3.0,9.0,4.0,16,4.0,13.0,3.0,20,,
241.0,175.0,DHOLPUR,lnj  /kkSyiqj,NH 11 B,ǔkakniqj ds ikl,177.6 KM,"178.1
KM",3.0,5.0,6.0,14,2.0,4.0,2.0,8,,
242.0,176.0,DHOLPUR,lSim,NH 123,rlheksa ls ikcZrh iqy ds e/;,18.2 KM,"18.7
KM",3.0,3.0,2.0,8,6.0,2.0,2.0,10,,
243.0,177.0,DHOLPUR,lSim,NH 123,xqtkZdjheiqj,11.2 KM,"11.7
KM",0.0,7.0,0.0,7,0.0,10.0,0.0,10,,
244.0,178.0,DHOLPUR,efu;ka,NH 44,cjSBk,31.8 KM,32 KM,5.0,1.0,1.0,7,5.0,1.0,1.0,7,,
